,spa_Latn,srd_Latn,taq_Latn
ace_Arab,0.5172873613417239,1.0547847715395609,0.9200798842215789
ace_Latn,5.646320440464191,8.229598753831306,7.1779270670035205
arz_Arab,4.958894701579373,4.305526268643424,1.468279924451219
ban_Latn,4.571950282064208,6.049285701582438,2.354854203789741
ben_Beng,1.438504117474573,2.663150834611188,0.7270026113928356
fur_Latn,11.989722531645414,21.85585558680733,3.5901091791467694
fuv_Latn,2.2159965199939307,3.3433976129725798,2.0826515974963034
hne_Deva,1.7457582010551782,3.231119591461998,2.3250545804936293
kas_Arab,0.342975572326435,0.7294554346317406,0.6787833234781024
kas_Deva,1.3434686391193953,2.7573015978489237,1.4160456264841146
lij_Latn,12.735894716919631,19.90013951919432,3.308390986061282
mag_Deva,1.837356504936635,2.9049188704815494,2.2565822379187632
mri_Latn,4.883391295460923,5.997691150946441,2.1037052464707036
scn_Latn,9.57832382951667,17.348064688283806,2.773104128278201
srd_Latn,11.832496004508888,30.097078689670578,3.288021052037915
taq_Latn,3.381664353586518,6.589639220285165,10.8043385046375
vec_Latn,14.88825047294074,21.17664363827234,3.801698131165168
ary_Arab,,3.3053988307229947,1.431890498631674
bam_Latn,,5.575412874544525,4.018563424601409
bho_Deva,,2.472075033608905,2.4523110274628634
bjn_Arab,,0.7381139718598376,0.34931429816968074
bjn_Latn,,7.308001558694494,2.8798176239394118
bug_Latn,,5.824735384718512,4.908428932034359
crh_Latn,,5.953976798830193,2.100988616368705
dik_Latn,,5.877599574940081,3.3833426387391627
dzo_Tibt,,0.018255777997593464,0.12463289564284206
eng_Latn,,64.74789795939682,13.389610056417254
gug_Latn,,7.511273075802755,2.92773978900148
ita_Latn,,33.66223045487484,5.147032360949409
knc_Arab,,0.46778212346161047,0.6385400070354902
knc_Latn,,4.668279663935611,3.6574576685619915
lim_Latn,,15.844059026420002,3.67297561781434
lmo_Latn,,17.19976980995199,3.098235683943256
ltg_Latn,,6.079129211913843,1.6649728425642898
mni_Beng,,1.2119664328295474,1.3028836875040322
nqo_Nkoo,,0.019374106848726525,0.13162890364977958
nus_Latn,,1.9480773505147606,1.652710821278905
pbt_Arab,,1.7930559434628095,1.6029309946141361
prs_Arab,,5.385734430951275,4.133773058811548
shn_Mymr,,0.08774739330594052,0.33791330085062904
spa_Latn,,21.211034966121204,5.146566487553488
szl_Latn,,18.949935918228327,3.365631929369459
taq_Tfng,,0.296683555679196,1.8398134934397345
zgh_Tfng,,0.4068734218999756,0.6636947547523199
