,acf,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,kor,mai,mfe,mlg,por,spa,srn,tam
bzj,4.41575020316269,3.327522194097044,5.154311792715322,,2.992765339255054,,,4.142698585440718,0.02126753627199273,,,2.489722872437879,,,,,,4.688877825583968,
crs,2.329321700900615,2.6872475959024866,,,1.828552276875997,4.43912681692359,,2.0854145760668827,0.14191136979032615,,,2.865251788841645,,8.731696545971515,4.902607147337035,,5.164370529145284,,
djk,1.925473567169442,,5.388682159428818,3.246364187048135,6.453264533510278,,,4.589909829865709,3.1487893844553376,4.140921947165761,0.002942183977445147,0.11466919246443476,,,,,,4.988424950321416,
gul,2.8262983432091,5.049020322483865,3.1340135994576825,3.880505262833922,1.9238265658295015,,4.800765440933429,,3.0888114478957633,4.400105921911916,1.4758175361727115,0.014353284202857754,,,,,,4.255539060614399,
hat,1.9121124830810154,1.9312715639674027,,5.3473778281120605,3.470173144155665,5.225838296469608,,3.9962146637952083,,5.289999015072833,,5.925210736292221,,4.048154428937153,,,1.329547750501609,,
icr,2.057813756486375,5.359016705317564,5.002057682325477,2.7350945435422958,3.3280814561571046,,,0.8374306659901852,1.6254409529020029,4.139546216728021,,2.8740199627709737,,,,,,4.796814986723313,
jam,2.744076597889871,1.9594752786572287,1.376566775995471,2.959464651102302,5.480864971207636,,,0.9909042268299906,2.7503571139302516,4.20590656784455,,3.927937220354145,,,,,,5.821020962308355,
kri,2.8631519693713123,5.126524454219817,6.063387119672898,2.4750563487446358,6.298963911427577,,,4.81097842177268,1.6401702474333433,4.250056885555327,,4.147378236539989,,,,,,5.855180096612211,
mfe,2.8469249883098655,2.0111825885274643,,,2.4045429981484276,5.817286742382315,,6.160853093133653,4.959928154266647,,,6.350105831484746,3.612275430331368,,5.2715957654380725,,5.6538932271328255,,3.9504762621866742
pcm,1.473082954431136,4.61806801751629,6.228811419465098,,2.3975125064096443,,,0.45427806993994746,4.217757987038477,4.230209840970416,,4.554099128396529,,,,,,3.8782469804534654,
srm,2.267268890035749,0.1305959921183501,5.503273039644359,1.9435603687263703,3.9211495953301405,,,3.3390063901471874,4.865431956707534,,,2.333339269475873,,,,3.2384910863925005,,5.160790188901079,
srn,4.8429241884133685,6.130607938742195,7.0397343622738315,1.7036654245217908,3.710245719880672,,,5.9359992177390755,5.019907130957592,,0.0,3.7146679763842188,,,,,,,
tpi,5.2848910278859424,5.389638584441222,6.375579549158642,,4.6891438115699815,,,5.640070984588525,0.03542586007408409,,,3.9366465256298597,,,,,,6.835910515976255,
acf,,2.6055650631823575,,3.7114619812991854,1.8754545997899505,2.481722984571249,,5.461370991451178,4.493875998893997,3.460675695856344,,3.1916857152301135,,3.1457184074111044,,,5.050345140989302,,
cab,,2.770500454672133,3.7583663846502353,,3.130244793730078,4.601202886858179,,3.962460746652782,,,,5.548999262917659,,,,,,,
ktu,,2.915434372218555,,,1.8506539174681698,,,5.373644895281052,,,,0.0,,,,,,,
pap,,3.935927643347089,,,5.018060953209663,0.5615014734372278,,3.1316350861003697,,,,2.043385441457966,,,,6.073141373858701,3.683486298058141,,
sag,,3.8355621645150406,,,3.4492637253119325,2.331292971942389,,3.851676045737669,,,,0.0,,,,,,,
