,acf,bzj,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam
bzj,4.769075415496954,,19.603108470940832,20.374523962785517,,18.933544770329952,,,10.695860705191201,15.425050659216572,,17.008670857508182,18.424281920607203,16.977627112301732,,,14.243832984128755,,,,18.48223038628972,11.496525694590614,
crs,18.744938164442686,,0.9833600821400665,,,17.774920708470404,16.11608342039773,,20.680608797191294,6.2997349043806254,,,,3.779533903451713,,,6.300236236815736,10.734941158046126,,11.683801527289472,20.134085607583526,23.253326669854747,
djk,12.440350072769936,,,15.146226250443338,9.984275561713119,12.950521671489756,,,10.82927312581354,5.324975416772537,14.598463963559293,,8.748486865626406,22.81552310327349,18.600583850415095,,18.648837896471168,,,,11.419389253242251,20.55998824582173,
gul,7.598875628252838,,9.765275658189903,13.01652408470948,16.251375202774582,5.882482690335904,,17.74575083985441,,23.77390133969918,19.46612305413479,10.838589715472487,19.164463616279097,21.059805101405203,16.38987901955808,,19.842166658328264,,,,13.62008090939811,21.588306797038083,
hat,23.8224188859128,,22.12325075119765,,20.851983540268584,14.537995248096506,8.579968194458626,,22.271861303877685,,24.668881620772638,,,10.842446582870155,,,23.10077713800812,,,24.56797994108785,15.962697366577952,10.063272869276148,
icr,8.493388979815945,,22.65407291736632,16.913456598565034,14.490783129170048,20.245776328007025,,,19.36511249451739,12.903908963822516,24.35301686839036,,17.809923383270355,14.551039818920394,,,13.662612105084825,,,,17.765242997418245,0.1106373303702631,
jam,23.29534257616441,,20.0821843963918,14.832620002861791,17.386502157216725,14.543760450302159,,,22.192277417071082,16.449644056164477,22.05949761420629,8.330936590833725,,11.527840663780566,19.859156569484785,,11.192849220299488,,,,18.02398742881887,19.97807164541809,
kri,22.028824249838078,,15.410980019145033,14.016369536059003,20.10762463125584,12.25832087606225,,,20.306699698645886,22.861972992871728,19.96414426344432,12.285629434643134,20.893953322327445,14.345913819492218,,,20.428927907999075,,,,19.016448996777015,20.832633911384494,
mfe,21.446813747184954,,16.581122960801416,,,19.607767087007062,20.361738760578568,,21.644909437733023,20.143305068874977,,,,21.768137942754308,,12.634790040077728,,22.074203709738367,,11.328554914567142,15.415512683719346,18.603514798316198,2.8464721603790664
pcm,12.248074264071333,,10.867727932989517,17.386637664353184,,13.155974581382793,,,5.978329207790956,14.920405041452165,14.098849704044431,23.244375399740033,8.400345817350157,13.432162636029496,,,26.456596899172403,,,,20.690176501531557,19.84581759713654,
srm,1.1288320583487583,,7.116678880757495,17.088161932328408,14.385552803762861,18.5283650638585,,,19.530739427581732,14.440724531954285,,14.497972826659131,18.02790124144552,13.063001980058337,,,19.685682461987856,,14.271819740993713,,,23.23068210400256,
srn,12.987014094184088,,13.890365476249094,13.793868005346507,19.93640661976724,22.635079293670863,,,17.027997095934207,16.217427634195683,,11.450596615931145,20.841499374520254,25.67063596170601,,,19.187191661927812,,,,21.963468572706304,,
tpi,8.814277161725727,,14.298074978784198,14.866842927884086,,14.129267110608687,,,16.479136537740423,23.65914942041514,,4.142715242299525,13.351252981265299,20.31018980636789,,,8.356978410515545,,,,8.705275621812268,20.556368367484197,
acf,,22.89371913340628,19.319861224494836,,19.830927351054115,10.146857222218394,19.82582902188648,,21.474785849346347,14.42693780253398,19.93357536283541,,,12.036873203822685,,,13.338926256673497,,,21.755730517045784,13.617910672911322,24.36180775849279,
cab,,,10.384452703875297,16.94073980003548,,16.029309738261997,13.940003713262755,,5.243389751499299,14.517119791583111,,,,17.782994753161848,,,,,,,2.255163115752482,,
ktu,,,20.606464220354393,,,24.759761978824226,,,15.725947550893537,27.996077005368143,,,,14.797941836461842,,,,,,,27.80987114682442,,
pap,,,14.225467454753597,,,14.949219336571511,15.375942797572199,,11.596022560166771,8.497964287457977,,,,19.61982606470513,,,,,20.99529992641288,13.947140257911919,11.510783678586,,
sag,,,11.845697584931075,,,12.445487680335331,18.01985833792607,,21.260808315476673,23.59159050369009,,,,18.983650984029456,,,,,,,6.162439661890831,,
