,fur_Latn,ita_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,scn_Latn,spa_Latn,srd_Latn,szl_Latn,vec_Latn
fur_Latn,10.373637229562414,5.372663484450286,5.148854170617358,5.345357999260439,7.53562795831893,2.521799289387933,6.263434493422791,4.056207653323429,5.809963068384367,5.558022625508716,8.76650758626312
ita_Latn,5.875687462942011,12.063393725065747,7.170117699963247,5.226759144101733,7.542839052557896,2.232341594124638,8.746118833933798,4.7448723302324005,6.712987655848693,4.915821755536655,11.164205942215832
lij_Latn,5.270926567893479,8.797978683541153,10.228205933032667,5.310757543861924,8.035991225995406,3.3644542227450587,9.636275402901786,4.55530994463089,6.376671410905716,6.0896018761087705,10.41766374864657
lim_Latn,3.7406507972362903,3.599932943146017,3.3326255602753485,8.695064063324756,4.005174058397324,2.5718098551239987,4.2117505034223655,2.9858095881012634,3.658717779135456,5.778980723220283,5.5811435290950735
lmo_Latn,6.365962165472476,5.718484139893009,4.312684047733183,5.381094425650106,8.642143253660429,3.682929940521304,7.171821980641349,4.396812667097822,5.331423174904425,5.696782558512234,7.834524609295937
ltg_Latn,2.67992129211578,1.719365468521472,1.8776028474417412,5.666045520054967,3.8769776191931102,8.871269921635653,4.979536795093105,2.6157795718119,3.8558496194409337,5.477210561456163,4.2674608092850805
scn_Latn,5.480248581255241,7.259839240966573,4.765637873368588,5.069717869846641,6.5183918760053,3.205365841774489,10.112863212131437,3.929215871089877,7.095212342743033,5.802456394338931,9.078708059463535
spa_Latn,5.634089009893172,7.835283349141201,4.826147310687449,5.737709572598796,5.447567196617742,2.601085370790752,6.269137355288648,11.145052118759036,5.9373519699835455,5.434523150788386,8.746768176048912
srd_Latn,4.973143517797513,6.444135983692305,4.5734380867565525,5.31530127683074,7.088810913366558,2.420950894186897,7.525120673656248,4.583493935346207,10.073357662658236,5.272944285874651,8.504284160265376
szl_Latn,2.423266685844258,2.629458622409029,1.5772185704523645,5.699965640702954,3.4994196723981235,4.751004849047946,2.350935743612487,3.012976680177008,4.355172519010885,9.347144242517052,4.792930184277208
vec_Latn,6.345519268158297,9.41947458866907,7.759291622861922,5.239498904628155,7.912000018344798,3.888766452109667,9.224893787494802,4.899916416903558,7.816748180406918,6.1382904029671295,12.53915525573408
